제목,저자/연도,출처,지역,매핑영역,주제태그,근거수준,DOI/PMID,발행연도
"The Effects of an Online Practicum Course on the Self-Efficacy of Pre- and In-Service PE Teachers Toward Inclusion","Kwon EH & Block ME (2021)","Adapted Physical Activity Quarterly","미국/서구","①④","자기효능감;실습;포용교육","준실험/중재","10.1123/apaq.2020-0072",2021
"Effects of a Community-Based Practicum on the Self-Efficacy of Preservice Adapted Physical Educators","Sato T & Haegele JA (2019)","Adapted Physical Activity Quarterly","미국/서구","①④","자기효능감;실습","준실험/중재","10.1123/apaq.2019-0033",2019
"Physical Educators' Self-Efficacy and Concerns Toward Teaching Students With Disabilities in Inclusive Settings","APAQ (2023)","Adapted Physical Activity Quarterly","미국/서구","①②","자기효능감;포용교육","관찰/조사","10.1123/apaq.2022-0186",2023
"Preservice Physical Education Teachers' Self-Efficacy Toward Including Students With Autism Spectrum Disorder","APAQ (2023)","Adapted Physical Activity Quarterly","미국/서구","①②","자기효능감;자폐ASD","관찰/조사","10.1123/apaq.2021-0136",2023
"Supporting Social Justice in PETE Programs: Adapted PE Teachers' Perspectives","Sullivan A et al. (2025)","J Research in Special Educational Needs","미국/서구","⑤","교사교육PETE;포용교육","관찰/조사","10.1111/1471-3802.70034",2025
"Trends in teacher training for developmental disability education during inclusive education in Japan","Naruse TH et al. (2019)","J Intellectual Disability Research","일본","①③","교사교육PETE;포용교육","리뷰/합의","10.1111/jir.12663",2019
"Current State and Issues of Paralympic Education in Japan: Para-sports Practical Sessions","Watanabe T (2019)","J Intellectual Disability Research","일본","③④","패럴림픽장애인스포츠;실습","관찰/조사","10.1111/jir.12658",2019
"Quality of life and associated factors in siblings of children with severe motor and intellectual disabilities","Wakimizu R et al. (2020)","Nursing & Health Sciences","일본","②","지적장애;개별화IEP","관찰/조사","10.1111/nhs.12755",2020
"Inclusion in Physical Education: A Systematic Review","Lleixa T & Gisbert DH (2022)","Int J Environmental Research and Public Health","글로벌/리뷰","②③","포용교육;교수적합화","체계적리뷰","10.3390/ijerph19042189",2022
"Inclusive education in New Zealand: voices from early childhood teachers","Singh P & Zhang KC (2022)","Support for Learning","글로벌/리뷰","①","포용교육;교사교육PETE","관찰/조사","10.1111/1467-9604.12428",2022
"The Effect of Halliwick Method on Aquatic Skills of Children with ASD","Vodakova E et al. (2022)","Int J Environmental Research and Public Health","글로벌/리뷰","③","자폐ASD;교수적합화","준실험/중재","10.3390/ijerph192316250",2022
"Effects of Aquatic Training in Children with Autism Spectrum Disorder","Marzouki H et al. (2022)","Biology (Basel)","글로벌/리뷰","③","자폐ASD;교수적합화","RCT","10.3390/biology11050657",2022
"Balance and coordination training for patients with genetic degenerative ataxia: a systematic review","He M et al. (2020)","Journal of Neurology","글로벌/리뷰","③","교수적합화","체계적리뷰","10.1007/s00415-020-09938-6",2020
